number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,state
0,0.5335748195648193,2025-09-10 17:08:57.445577,2025-09-10 18:57:19.314301,0 days 01:48:21.868724,0.10042271454095106,15,COMPLETE
1,0.5422123074531555,2025-09-10 18:57:19.314841,2025-09-10 20:20:30.771211,0 days 01:23:11.456370,0.07116328008422879,12,COMPLETE
2,0.5292560458183289,2025-09-10 20:20:30.771679,2025-09-10 21:49:29.453189,0 days 01:28:58.681510,0.056463701633815845,13,COMPLETE
3,0.5328782200813293,2025-09-10 21:49:29.453739,2025-09-10 22:53:22.738043,0 days 01:03:53.284304,0.07418925089301334,13,COMPLETE
4,0.5303705930709839,2025-09-10 22:53:22.738542,2025-09-11 00:07:20.008363,0 days 01:13:57.269821,0.08771717138023499,15,COMPLETE
5,0.546949028968811,2025-09-11 00:07:20.008853,2025-09-11 01:47:16.167626,0 days 01:39:56.158773,0.05766157655132073,20,COMPLETE
6,0.5436054468154907,2025-09-11 01:47:16.168154,2025-09-11 03:28:04.941446,0 days 01:40:48.773292,0.052506097655506484,20,COMPLETE
7,0.5441626906394958,2025-09-11 03:28:04.941990,2025-09-11 05:08:48.379633,0 days 01:40:43.437643,0.08441443513956248,20,COMPLETE
8,0.5178322792053223,2025-09-11 05:08:48.380062,2025-09-11 06:32:51.914201,0 days 01:24:03.534139,0.07334183075195881,17,COMPLETE
9,0.5314850807189941,2025-09-11 06:32:51.914721,2025-09-11 07:59:34.645796,0 days 01:26:42.731075,0.104414982240992,18,COMPLETE
10,0.529813289642334,2025-09-11 09:51:33.223518,2025-09-11 11:39:32.412401,0 days 01:47:59.188883,0.1,16,COMPLETE
